"Country","n"
"Argentina",2
"Australia",6
"Austria",1
"Belgium",17
"Canada",81
"Czech Republic",6
"Denmark",2
"England",287
"Finland",2
"France",52
"Germany",80
"Hungary",1
"Ireland",6
"Israel",2
"Italy",25
"Latvia",1
"Malta",1
"Mexico",1
"Morocco",1
"Netherlands",40
"Northern Ireland",2
"Norway",2
"Portugal",153
"Scotland",10
"Slovenia",3
"Spain",198
"Sweden",5
"Switzerland",8
"United Arab Emirates",8
"United Kingdom",1
"United States",27
"Wales",3
